1,Beca Perú (Lima - Callao) 2014-02,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,2015-08,2014-06,Instituto de Educación Superior,IES PRIVADO PERUANO DE SISTEMAS SISE,SEDE CERCADO DE LIMA,COMUNICACION AUDIOVISUAL,MASCULINO,14/04/2026 14:01:19
2,CREDITO CONTINUIDAD 2020   ,LIMA,Becarios con suspension,RESOLUCION JEFATURAL,2021-05,2020-07,Universidad,UNIVERSIDAD CIENTIFICA DEL SUR,SEDE VILLA EL SALVADOR,INGENIERIA AMBIENTAL,FEMENINO,14/04/2026 14:01:19
3,Beca Presidente de la República 2017   ,ESPAÑA,Becarios declarados nulos,,,2017-05,Universidad,UNIVERSIDAD DE BARCELONA,SEDE BARCELONA,MASTER OFICIAL EN PLANIFICACION TERRITORIAL Y GESTION AMBIENTAL,FEMENINO,14/04/2026 14:01:19
4,Beca de Continuidad de Estudios 2020   ,CUSCO,Becarios declarados nulos,,,2020-06,Instituto de Educación Superior,IES PRIVADO KHIPU,SEDE SAN SEBASTIAN,ADMINISTRACION DE NEGOCIOS INTERNACIONALES,FEMENINO,14/04/2026 14:01:19
5,Beca de Permanencia de Estudios - Nacional 2016-02,AREQUIPA,Becarios declarados nulos,,2017-02,2016-07,Universidad,UNIVERSIDAD NACIONAL DE SAN AGUSTIN DE AREQUIPA,SEDE AREQUIPA,INGENIERIA DE MINAS,MASCULINO,14/04/2026 14:01:19
6,Presidente de la República 2013-04,ARGENTINA,Becarios declarados nulos,,2014-12,2013-11,Universidad,UNIVERSIDAD DE BUENOS AIRES,SEDE BUENOS AIRES,MAESTRIA EN SALUD ANIMAL,FEMENINO,14/04/2026 14:01:19
7,Beca de Continuidad de Estudios 2020   ,JUNIN,Becarios declarados nulos,,,2020-07,Universidad,UNIVERSIDAD PERUANA LOS ANDES,SEDE HUANCAYO,DERECHO,FEMENINO,14/04/2026 14:01:19
8,Beca Presidente de la República 2017   ,CHILE,Becarios declarados nulos,,,2017-05,Universidad,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE (UC),SEDE SANTIAGO,MAESTRIA EN CIENCIAS DE LA INGENIERIA ESPECIALIDAD INGENIERIA HIDRAULICA Y AMBIENTAL,FEMENINO,14/04/2026 14:01:19
9,Beca REPARED 2018   ,LIMA,Becarios declarados nulos,,,2018-04,Universidad,UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS,SEDE CAMPUS VILLA,DERECHO,FEMENINO,14/04/2026 14:01:19
10,Beca para Poblaciones Vulnerables y en Situaciones Especiales de Formación Técnico Productiva 2015   ,AYACUCHO,Becarios declarados nulos,,2016-01,2014-10,Instituto de Educación Superior,CENTRO DE FORMACION EN TURISMO - CENFOTUR,SEDE AYACUCHO,ORFEBRERIA -JOYERO BASICO,FEMENINO,14/04/2026 14:01:19
11,Beca Mi Vocación Técnica 2017   ,LIMA,Becarios declarados nulos,,,2017-05,Instituto de Educación Superior,IDAT (ex IBEROTEC),SEDE LINCE,DISEÑO Y DESARROLLO DE APPS,MASCULINO,14/04/2026 14:01:19
12,Presidente de la República 2014-02,ESPAÑA,Becarios declarados nulos,,,2014-06,Universidad,UNIVERSIDAD CARLOS III DE MADRID,SEDE MADRID,MAESTRIA EN CIBERSEGURIDAD,FEMENINO,14/04/2026 14:01:19
13,Beca Especial FFAA 2014-02,CUSCO,Becarios declarados nulos,,,2014-08,Instituto de Educación Superior,CENTRO DE FORMACION EN TURISMO - CENFOTUR,SEDE CUSCO,BAR MANAGER,FEMENINO,14/04/2026 14:01:19
14,Presidente de la República 2013-04,ARGENTINA,Becarios declarados nulos,,,2013-11,Universidad,UNIVERSIDAD DE BUENOS AIRES,SEDE BUENOS AIRES,MAESTRIA EN INGENIERIA DE LA HIDRAULICA URBANA,MASCULINO,14/04/2026 14:01:19
15,Beca Doble Oportunidad 2016   ,PASCO,Becarios declarados nulos,,,2016-05,Instituto de Educación Superior,SERVICIO NACIONAL DE ADIESTRAMIENTO EN TRABAJO INDUSTRIAL - SENATI,SEDE CERRO DE PASCO,SOLDADOR ESTRUCTURAL,MASCULINO,14/04/2026 14:01:19
16,Beca Especial FFAA 2014-02,PIURA,Becarios declarados nulos,,,2014-07,Instituto de Educación Superior,SERVICIO NACIONAL DE ADIESTRAMIENTO EN TRABAJO INDUSTRIAL - SENATI,SEDE PIURA,TECNICO EN REDES Y CABLEADO ESTRUCTURADO,MASCULINO,14/04/2026 14:01:19
17,Beca Especialización en Pedagogía para Docentes Titulados en la Especialidad de Inglés, nombrados en Instituciones Educativas Públicas de Educación Básica Regular en el nivel de educación secundaria 2016   ,ESTADOS UNIDOS,Becarios declarados nulos,,2016-02,2016-01,Universidad,ARIZONA STATE UNIVERSITY,SEDE ARIZONA,SEMINARIO: PROFESSIONAL DEVELOPMENT FOR PUBLIC SCHOOL ENGLISH TEACHERS,FEMENINO,14/04/2026 14:01:19
18,Beca para Poblaciones Vulnerables y en Situaciones Especiales de Formación Técnico Productiva 2015   ,AREQUIPA,Becarios declarados nulos,,2016-03,2014-12,Instituto de Educación Superior,SERVICIO NACIONAL DE ADIESTRAMIENTO EN TRABAJO INDUSTRIAL - SENATI,SEDE AREQUIPA,AUDITOR DE CALIDAD PARA LINEA DE PRODUCCION EN CONFECCIONES,MASCULINO,14/04/2026 14:01:19
19,Beca para Poblaciones Vulnerables y en Situaciones Especiales de Formación Técnico Productiva 2015   ,CUSCO,Becarios declarados nulos,,2016-01,2014-10,Instituto de Educación Superior,SERVICIO NACIONAL DE ADIESTRAMIENTO EN TRABAJO INDUSTRIAL - SENATI,SEDE CUSCO,PROCESAMIENTO DE FRUTAS,MASCULINO,14/04/2026 14:01:19
20,Beca de Permanencia de Estudios Nacional 2018   ,CALLAO,Becarios declarados nulos,,,2018-09,Universidad,UNIVERSIDAD NACIONAL DEL CALLAO,SEDE BELLAVISTA,ECONOMIA,FEMENINO,14/04/2026 14:01:19
21,Beca para Poblaciones Vulnerables y en Situaciones Especiales de Formación Técnico Productiva 2015   ,CUSCO,Becarios declarados nulos,,2016-01,2014-10,Instituto de Educación Superior,SERVICIO NACIONAL DE ADIESTRAMIENTO EN TRABAJO INDUSTRIAL - SENATI,SEDE CUSCO,PROCESAMIENTO DE FRUTAS,MASCULINO,14/04/2026 14:01:19
22,Beca para Poblaciones Vulnerables y en Situaciones Especiales de Formación Técnico Productiva 2015   ,CUSCO,Becarios declarados nulos,,2016-01,2014-10,Instituto de Educación Superior,SERVICIO NACIONAL DE ADIESTRAMIENTO EN TRABAJO INDUSTRIAL - SENATI,SEDE CUSCO,PROCESAMIENTO DE FRUTAS,MASCULINO,14/04/2026 14:01:19
23,Beca Especial de Inglés para estudiantes de 3° Y 4° año de educación secundaria de instituciones públicas EBR 2016   ,LIMA,Becarios declarados nulos,,2016-11,2016-06,Instituto de Idiomas,ICPNA,SEDE LIMA,INGLES,MASCULINO,14/04/2026 14:01:19
24,Beca de Continuidad de Estudios 2020   ,LAMBAYEQUE,Becarios declarados nulos,,,2020-07,Instituto de Educación Superior,SERVICIO NACIONAL DE ADIESTRAMIENTO EN TRABAJO INDUSTRIAL - SENATI,SEDE LAMBAYEQUE,ELECTROTECNIA INDUSTRIAL,MASCULINO,14/04/2026 14:01:19
25,Beca para Poblaciones Vulnerables y en Situaciones Especiales de Formación Técnico Productiva 2015   ,AREQUIPA,Becarios declarados nulos,,2016-03,2014-12,Instituto de Educación Superior,SERVICIO NACIONAL DE ADIESTRAMIENTO EN TRABAJO INDUSTRIAL - SENATI,SEDE AREQUIPA,OPERADOR DE MAQUINA DE COSTURA PARA LINEAS DE PRODUCCION EN CONFECCIONES,MASCULINO,14/04/2026 14:01:19
26,Beca de Continuidad de Estudios 2020   ,LIMA,Becarios declarados nulos,,,2020-07,Instituto de Educación Superior,IES PRIVADO CERTUS,SEDE VILLA EL SALVADOR,ADMINISTRACION DE NEGOCIOS BANCARIOS Y FINANCIEROS,FEMENINO,14/04/2026 14:01:19
27,Presidente de la República 2013-04,CHILE,Becarios declarados nulos,,,2013-11,Universidad,UNIVERSIDAD DE CHILE,SEDE SANTIAGO,MAESTRIA EN TECNOLOGIAS DE LA INFORMACION,MASCULINO,14/04/2026 14:01:19
28,Beca 18 Modalidad Ordinaria 2012   ,PUNO,Becarios declarados nulos,,,2012-04,Instituto de Educación Superior,ILAVE,SEDE ILAVE,COMPUTACION E INFORMATICA,FEMENINO,14/04/2026 14:01:19
29,Beca Mi Vocación Técnica 2017   ,LIMA,Becarios declarados nulos,,2018-03,2017-05,Instituto de Educación Superior,SERVICIO NACIONAL DE ADIESTRAMIENTO EN TRABAJO INDUSTRIAL - SENATI,LUIS CACERES GRAZIANI,ILUSTRADOR DIGITAL,FEMENINO,14/04/2026 14:01:19
30,Beca para Poblaciones Vulnerables y en Situaciones Especiales de Formación Técnico Productiva 2015   ,CUSCO,Becarios declarados nulos,,2016-01,2014-12,Instituto de Educación Superior,SERVICIO NACIONAL DE ADIESTRAMIENTO EN TRABAJO INDUSTRIAL - SENATI,SEDE CUSCO,SOPORTE TECNICO DE COMPUTADORAS,MASCULINO,14/04/2026 14:01:19
31,Beca para Poblaciones Vulnerables y en Situaciones Especiales de Formación Técnico Productiva 2015   ,CUSCO,Becarios declarados nulos,,2016-01,2014-12,Instituto de Educación Superior,SERVICIO NACIONAL DE ADIESTRAMIENTO EN TRABAJO INDUSTRIAL - SENATI,SEDE CUSCO,SOPORTE TECNICO DE COMPUTADORAS,MASCULINO,14/04/2026 14:01:19
32,Beca Especialización en Pedagogía para Docentes Titulados en la Especialidad de Inglés, nombrados en Instituciones Educativas Públicas de Educación Básica Regular en el nivel de educación secundaria 2016   ,ESTADOS UNIDOS,Becarios declarados nulos,,2016-03,2016-01,Universidad,ARIZONA STATE UNIVERSITY,SEDE ARIZONA,SEMINARIO: PROFESSIONAL DEVELOPMENT FOR PUBLIC SCHOOL ENGLISH TEACHERS,MASCULINO,14/04/2026 14:01:19
33,Beca de Continuidad de Estudios 2020   ,AREQUIPA,Becarios declarados nulos,,,2020-06,Instituto de Educación Superior,IES PRIVADO TECSUP N° 2,SEDE JOSE LUIS BUSTAMANTE Y RIVERO,ELECTRICIDAD INDUSTRIAL CON MENCION EN SISTEMAS ELECTRICOS DE POTENCIA,MASCULINO,14/04/2026 14:01:19
34,Beca para Poblaciones Vulnerables y en Situaciones Especiales de Formación Técnico Productiva 2015   ,AREQUIPA,Becarios declarados nulos,,2016-03,2014-10,Instituto de Educación Superior,SERVICIO NACIONAL DE ADIESTRAMIENTO EN TRABAJO INDUSTRIAL - SENATI,SEDE AREQUIPA,OPERADOR DE MAQUINA DE COSTURA PARA LINEAS DE PRODUCCION EN CONFECCIONES,MASCULINO,14/04/2026 14:01:19
35,Beca Presidente de la República 2017   ,BRASIL,Becarios declarados nulos,,,2017-05,Universidad,UNIVERSIDADE DE SAO PAULO,SEDE PIRASSUNUNGA,DOCTORADO EN INGENIERIA DE ALIMENTOS,MASCULINO,14/04/2026 14:01:19
36,Beca para Poblaciones Vulnerables y en Situaciones Especiales de Formación Técnico Productiva 2015   ,CUSCO,Becarios declarados nulos,,2016-01,2014-10,Instituto de Educación Superior,SERVICIO NACIONAL DE ADIESTRAMIENTO EN TRABAJO INDUSTRIAL - SENATI,SEDE CUSCO,PROCESAMIENTO DE FRUTAS,MASCULINO,14/04/2026 14:01:19
37,Beca de Continuidad de Estudios 2020   ,JUNIN,Becarios declarados nulos,,,2020-07,Universidad,UNIVERSIDAD PERUANA LOS ANDES,SEDE HUANCAYO,EDUCACION PRIMARIA,FEMENINO,14/04/2026 14:01:19
38,Beca de Continuidad de Estudios 2020   ,LIMA,Becarios declarados nulos,,,2020-06,Universidad,UNIVERSIDAD CIENTIFICA DEL SUR,SEDE VILLA EL SALVADOR,ADMINISTRACION DE EMPRESAS,FEMENINO,14/04/2026 14:01:19
39,Beca de Continuidad de Estudios 2020   ,LA LIBERTAD,Becarios declarados nulos,,,2020-06,Instituto de Educación Superior,SERVICIO NACIONAL DE ADIESTRAMIENTO EN TRABAJO INDUSTRIAL - SENATI,SEDE CHEPEN,ADMINISTRACION DE EMPRESAS,FEMENINO,14/04/2026 14:01:19
40,Beca Idiomas - Ingles 2015   ,AREQUIPA,Becarios declarados nulos,,,2015-03,Instituto de Idiomas,ICPNA,SEDE AREQUIPA,INGLES,MASCULINO,14/04/2026 14:01:19
41,Beca 18 REPARED 2017   ,JUNIN,Becarios declarados nulos,,,2017-06,Universidad,UNIVERSIDAD NACIONAL DEL CENTRO DEL PERU,SEDE EL TAMBO,INGENIERIA DE MINAS,MASCULINO,14/04/2026 14:01:19
42,Beca Perú - Lima Callao 2015   ,LIMA,Becarios declarados nulos,,,2015-03,Instituto de Educación Superior,ESFA DEL FOLKLORE – JOSE MARIA ARGUEDAS,SEDE LIMA,EDUCACION ARTISTICA MUSICA,MASCULINO,14/04/2026 14:01:19
43,Beca para Poblaciones Vulnerables y en Situaciones Especiales de Formación Técnico Productiva 2015   ,AYACUCHO,Becarios declarados nulos,,2016-01,2014-10,Instituto de Educación Superior,CENTRO DE FORMACION EN TURISMO - CENFOTUR,SEDE AYACUCHO,ORFEBRERIA -JOYERO BASICO,FEMENINO,14/04/2026 14:01:19
44,Beca para casos Sociales o de Necesidad o de Extrema Urgencia 2015   ,LIMA,Becarios declarados nulos,,,2015-10,Instituto de Educación Superior,IES PRIVADO CENTRO PERUANO DE ESTUDIOS BANCARIOS - CEPEBAN,SEDE LINCE,ADMINISTRACION BANCARIA,MASCULINO,14/04/2026 14:01:19
45,Beca Presidente de la República 2019   ,REINO UNIDO,Becarios declarados nulos,,,2019-05,Universidad,UNIVERSITY COLLEGE LONDON,SEDE LONDRES,DOCTORADO EN INGENIERIA CIVIL, AMBIENTAL Y GEOMATICA,MASCULINO,14/04/2026 14:01:19
46,Beca de Continuidad de Estudios 2020   ,ICA,Becarios declarados nulos,,,2020-06,Instituto de Educación Superior,IES PRIVADO INSTITUTO PERUANO DE ADMINISTRACION DE EMPRESAS - IPAE,SEDE ICA,ADMINISTRACION DE NEGOCIOS INTERNACIONALES,MASCULINO,14/04/2026 14:01:19
47,Beca de Continuidad de Estudios 2020   ,LIMA,Becarios declarados nulos,,,2020-06,Instituto de Educación Superior,IES PRIVADO TOULOUSE LAUTREC,SEDE SANTIAGO DE SURCO,DISEÑO GRAFICO,MASCULINO,14/04/2026 14:01:19
48,Beca 18 Modalidad Ordinaria 2012   ,SAN MARTIN,Becarios declarados nulos,,2014-05,2012-04,Universidad,UNIVERSIDAD NACIONAL DE SAN MARTIN,SEDE TARAPOTO,INGENIERIA DE SISTEMAS E INFORMATICA,FEMENINO,14/04/2026 14:01:19
49,Beca Perú (Lima - Callao) 2014-02,LIMA,Becarios declarados nulos,,,2014-07,Instituto de Educación Superior,IES PRIVADO PERUANO DE SISTEMAS SISE,SEDE CERCADO DE LIMA,ADMINISTRACION DE NEGOCIOS,MASCULINO,14/04/2026 14:01:19
50,Beca de Continuidad de Estudios 2020   ,AREQUIPA,Becarios declarados nulos,,,2020-07,Instituto de Educación Superior,IES PRIVADO TECSUP N° 2,SEDE JOSE LUIS BUSTAMANTE Y RIVERO,GESTION Y MANTENIMIENTO DE MAQUINARIA PESADA,MASCULINO,14/04/2026 14:01:19
51,Beca Perú 2017-01,LIMA,Becarios declarados nulos,,,2017-01,Instituto de Educación Superior,ARTE, NEGOCIOS Y TECNOLOGIA - ESANTEC,SEDE LIMA,DIRECCION Y DISEÑO GRAFICO,FEMENINO,14/04/2026 14:01:19
52,Beca Especial FFAA 2014-02,ANCASH,Becarios declarados nulos,,,2014-07,Instituto de Educación Superior,SERVICIO NACIONAL DE ADIESTRAMIENTO EN TRABAJO INDUSTRIAL - SENATI,SEDE HUARAZ (CFP Huaraz),SOLDADOR DE ESTRUCTURAS,MASCULINO,14/04/2026 14:01:19
53,Beca de Continuidad de Estudios 2020   ,AREQUIPA,Becarios declarados nulos,,,2020-06,Instituto de Educación Superior,IES PRIVADO TECSUP N° 2,SEDE JOSE LUIS BUSTAMANTE Y RIVERO,GESTION Y MANTENIMIENTO DE MAQUINARIA PESADA,MASCULINO,14/04/2026 14:01:19
54,Beca de Continuidad de Estudios 2020   ,AREQUIPA,Becarios declarados nulos,,,2020-06,Instituto de Educación Superior,IES PRIVADO TECSUP N° 2,SEDE JOSE LUIS BUSTAMANTE Y RIVERO,ELECTRICIDAD INDUSTRIAL CON MENCION EN SISTEMAS ELECTRICOS DE POTENCIA,MASCULINO,14/04/2026 14:01:19
55,Beca Especial FFAA 2014-02,LIMA,Becarios declarados nulos,,,2014-08,Instituto de Educación Superior,SERVICIO NACIONAL DE ADIESTRAMIENTO EN TRABAJO INDUSTRIAL - SENATI,SEDE INDEPENDENCIA,TECNICO EN REDES Y CABLEADO ESTRUCTURADO,MASCULINO,14/04/2026 14:01:19
56,Presidente de la República 2014-03,AUSTRALIA,Becarios declarados nulos,,,2014-10,Universidad,UNIVERSITY OF MELBOURNE,SEDE MELBOURNE,MAESTRIA: INFORMATION TECHNOLOGY,MASCULINO,14/04/2026 14:01:19
57,Beca 18 Ordinaria 2017   ,LIMA,Becarios declarados nulos,,,2017-06,Instituto de Educación Superior,IES PRIVADO CENTRO PERUANO DE ESTUDIOS BANCARIOS - CEPEBAN,SEDE LINCE,ADMINISTRACION BANCARIA,FEMENINO,14/04/2026 14:01:19
58,Beca Especial FFAA 2014-02,LAMBAYEQUE,Becarios declarados nulos,,,2014-08,Instituto de Educación Superior,CENTRO DE FORMACION EN TURISMO - CENFOTUR,SEDE CHICLAYO,BAR MANAGER,FEMENINO,14/04/2026 14:01:19
59,Beca de Permanencia de Estudios Nacional - Modalidad Excelencia de 2do a 9no ciclo 2017   ,LIMA,Becarios declarados nulos,,2018-09,2017-08,Universidad,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,SEDE LIMA,ECONOMIA,FEMENINO,14/04/2026 14:01:19
60,Presidente de la República 2015   ,REINO UNIDO,Becarios declarados nulos,,,2015-02,Universidad,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE (LSE),SEDE LONDRES,MAESTRIA: PUBLIC POLICY AND ADMINISTRATION,MASCULINO,14/04/2026 14:01:19
61,Beca de Continuidad de Estudios 2020   ,CUSCO,Becarios declarados nulos,,,2020-07,Universidad,UNIVERSIDAD CONTINENTAL,SEDE SAN JERONIMO,INGENIERIA INDUSTRIAL,MASCULINO,14/04/2026 14:01:19
62,Presidente de la República 2014-03,AUSTRALIA,Becarios declarados nulos,,,2014-12,Universidad,AUSTRALIAN NATIONAL UNIVERSITY,SEDE CANBERRA,MAESTRIA: MASTER OF ENERGY CHANGE,MASCULINO,14/04/2026 14:01:19
63,Beca de Continuidad de Estudios 2020   ,LIMA,Becarios declarados nulos,,,2020-07,Universidad,UNIVERSIDAD CIENTIFICA DEL SUR,SEDE VILLA EL SALVADOR,INGENIERIA DE SISTEMAS EMPRESARIALES,MASCULINO,14/04/2026 14:01:19
64,Beca de Continuidad de Estudios 2020   ,LIMA,Becarios declarados nulos,,,2020-07,Universidad,UNIVERSIDAD CIENTIFICA DEL SUR,SEDE VILLA EL SALVADOR,INGENIERIA DE SISTEMAS EMPRESARIALES,MASCULINO,14/04/2026 14:01:19
65,Beca de Permanencia de Estudios Nacional 2018   ,PIURA,Becarios declarados nulos,,2019-05,2018-08,Universidad,UNIVERSIDAD NACIONAL DE PIURA,SEDE PIURA,BIOLOGIA,FEMENINO,14/04/2026 14:01:19
66,Beca de Permanencia de Estudios Nacional 2018   ,CALLAO,Becarios declarados nulos,,,2018-09,Universidad,UNIVERSIDAD NACIONAL DEL CALLAO,SEDE BELLAVISTA,ECONOMIA,FEMENINO,14/04/2026 14:01:19
